Tenant,AP,VRF,Encap,Description,BD,Vlan_Pool,Domain_Name,Domain_Type,Attached_Entity_Profile,Policy_Group,Interface_Mode,Interface_Type,Pod,LACP_Type,Leaf_Interface_Profile,Leaf_Pair,Port,Node,Hostname,State_Sel,Encap_json,BD_json,EPG_json,Domain_bind_json,selector_json,bind_int_json,vpc_ipg_json,vpc_sel_json,vpc_bind_json
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF320-IntProfile,,e1/33,320,SAESXPRDWC02N01,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF321-IntProfile,,e1/33,321,SAESXPRDWC02N01,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF320-IntProfile,,e1/34,320,SAESXPRDWC02N02,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF321-IntProfile,,e1/34,321,SAESXPRDWC02N02,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF320-IntProfile,,e1/39,320,SAESXPRDWC02N03,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF321-IntProfile,,e1/39,321,SAESXPRDWC02N03,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF320-IntProfile,,e1/40,320,SAESXPRDWC02N04,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF321-IntProfile,,e1/40,321,SAESXPRDWC02N04,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF320-IntProfile,,e1/45,320,SAESXPRDWC02N05,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF321-IntProfile,,e1/45,321,SAESXPRDWC02N05,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF320-IntProfile,,e1/46,320,SAESXPRDWC02N06,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF321-IntProfile,,e1/46,321,SAESXPRDWC02N06,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF300-IntProfile,,e1/28,300,SAESXPRDWC02N07,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF301-IntProfile,,e1/28,301,SAESXPRDWC02N07,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF324-IntProfile,,e1/30,324,SAESXPRDWC02N08,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF325-IntProfile,,e1/30,325,SAESXPRDWC02N08,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF328-IntProfile,,e1/8,328,SAESXPRDWC02N09,present,,,,,,yes,,,
Tier3,Tier3_Genpop,Tier3_vrf,2070,,2070,,,,,Tier_shared_auto_ipg,trunk,switch_port,1,,LF329-IntProfile,,e1/8,329,SAESXPRDWC02N09,present,,,,,,yes,,,
